solution,sample_percentage,cache,timing
vcf2db,100,cold,8.408360678
vcf2db,100,cold,8.937944717
vcf2db,100,cold,8.158915437
vcf2db,100,warm,7.835120478
vcf2db,100,warm,7.819941481
vcf2db,100,warm,8.012222272
vcf2db,50,cold,4.098020876
vcf2db,50,cold,4.311337239
vcf2db,50,cold,4.338098895
vcf2db,50,warm,4.034566028
vcf2db,50,warm,3.930152709
vcf2db,50,warm,3.922465195
vcf2db,10,cold,1.845612554
vcf2db,10,cold,2.083665889
vcf2db,10,cold,2.019877224
vcf2db,10,warm,1.061384346
vcf2db,10,warm,0.984596427
vcf2db,10,warm,0.971019273
vcf2db,1,cold,0.257314425
vcf2db,1,cold,0.276241060
vcf2db,1,cold,0.273186508
vcf2db,1,warm,0.183154230
vcf2db,1,warm,0.170989240
vcf2db,1,warm,0.165554669
cutevariant,100,cold,2.174057318
cutevariant,100,cold,1.953384702
cutevariant,100,cold,2.085162416
cutevariant,100,warm,1.926465459
cutevariant,100,warm,1.921055517
cutevariant,100,warm,1.983065903
cutevariant,50,cold,1.134237225
cutevariant,50,cold,1.100484219
cutevariant,50,cold,1.135093300
cutevariant,50,warm,1.068049058
cutevariant,50,warm,1.064459956
cutevariant,50,warm,1.063250505
cutevariant,10,cold,0.309974380
cutevariant,10,cold,0.308821845
cutevariant,10,cold,0.310197697
cutevariant,10,warm,0.225268482
cutevariant,10,warm,0.225914230
cutevariant,10,warm,0.224498509
cutevariant,1,cold,.077652879
cutevariant,1,cold,.077435399
cutevariant,1,cold,.078173700
cutevariant,1,warm,.032747000
cutevariant,1,warm,.033584846
cutevariant,1,warm,.033372778
VCFdbR-table,100,cold,73.254914122
VCFdbR-table,100,cold,73.463873704
VCFdbR-table,100,cold,73.414612356
VCFdbR-table,100,warm,3.572005790
VCFdbR-table,100,warm,3.719976302
VCFdbR-table,100,warm,3.650373085
VCFdbR-table,50,cold,73.130427336
VCFdbR-table,50,cold,73.171735192
VCFdbR-table,50,cold,72.959498498
VCFdbR-table,50,warm,2.846205956
VCFdbR-table,50,warm,2.769310479
VCFdbR-table,50,warm,2.772002181
VCFdbR-table,10,cold,26.203844126
VCFdbR-table,10,cold,26.277743446
VCFdbR-table,10,cold,26.166841447
VCFdbR-table,10,warm,2.199791335
VCFdbR-table,10,warm,1.889620943
VCFdbR-table,10,warm,2.163854057
VCFdbR-table,1,cold,14.030425561
VCFdbR-table,1,cold,14.103769188
VCFdbR-table,1,cold,14.146447664
VCFdbR-table,1,warm,2.158684942
VCFdbR-table,1,warm,2.196132920
VCFdbR-table,1,warm,1.914108008
VCFdbR-file,100,cold,27.992012670
VCFdbR-file,100,cold,27.776863840
VCFdbR-file,100,cold,27.626573549
VCFdbR-file,100,warm,11.999489020
VCFdbR-file,100,warm,11.569212974
VCFdbR-file,100,warm,12.116914505
VCFdbR-file,50,cold,26.006596827
VCFdbR-file,50,cold,26.304994882
VCFdbR-file,50,cold,26.937112636
VCFdbR-file,50,warm,10.097814427
VCFdbR-file,50,warm,10.170850626
VCFdbR-file,50,warm,10.132400621
VCFdbR-file,10,cold,24.320572637
VCFdbR-file,10,cold,25.079175374
VCFdbR-file,10,cold,24.638788662
VCFdbR-file,10,warm,8.113704179
VCFdbR-file,10,warm,7.751647393
VCFdbR-file,10,warm,8.237679018
VCFdbR-file,1,cold,22.899870123
VCFdbR-file,1,cold,22.952743377
VCFdbR-file,1,cold,23.140782665
VCFdbR-file,1,warm,7.277843714
VCFdbR-file,1,warm,7.781102615
VCFdbR-file,1,warm,7.890633708
vcf-miner,100,cold,11.366609363
vcf-miner,100,cold,11.520532483
vcf-miner,100,cold,11.340839052
vcf-miner,100,warm,3.753329748
vcf-miner,100,warm,2.582235021
vcf-miner,100,warm,2.818848830
vcf-miner,50,cold,6.357626314
vcf-miner,50,cold,6.240598492
vcf-miner,50,cold,6.323105054
vcf-miner,50,warm,2.498252698
vcf-miner,50,warm,1.980004024
vcf-miner,50,warm,1.755737502
vcf-miner,10,cold,2.464549443
vcf-miner,10,cold,2.626725834
vcf-miner,10,cold,2.686698154
vcf-miner,10,warm,1.249859183
vcf-miner,10,warm,1.135435444
vcf-miner,10,warm,1.122506256
vcf-miner,1,cold,1.890541051
vcf-miner,1,cold,1.907552341
vcf-miner,1,cold,1.948041556
vcf-miner,1,warm,1.151005552
vcf-miner,1,warm,0.805390993
vcf-miner,1,warm,0.911069596
