solution,sample_percentage,cache,timing
vcf2db,100,cold,281.545403984
vcf2db,100,cold,308.360869886
vcf2db,100,cold,284.103637022
vcf2db,100,warm,203.029728599
vcf2db,100,warm,227.692839295
vcf2db,100,warm,202.142071872
vcf2db,50,cold,318.469009977
vcf2db,50,cold,315.603409635
vcf2db,50,cold,315.750912164
vcf2db,50,warm,239.328655966
vcf2db,50,warm,236.191153596
vcf2db,50,warm,235.240995170
vcf2db,10,cold,303.586462987
vcf2db,10,cold,295.678691528
vcf2db,10,cold,333.481581590
vcf2db,10,warm,252.075757663
vcf2db,10,warm,239.298631009
vcf2db,10,warm,234.833268990
vcf2db,1,cold,337.117065064
vcf2db,1,cold,340.408611574
vcf2db,1,cold,340.566737966
vcf2db,1,warm,245.813402555
vcf2db,1,warm,249.925650376
vcf2db,1,warm,249.551405284
cutevariant,100,cold,739.907129558
cutevariant,100,cold,743.334877907
cutevariant,100,cold,739.468623662
cutevariant,100,warm,49.786513534
cutevariant,100,warm,49.830427652
cutevariant,100,warm,49.641346318
cutevariant,50,cold,555.791111674
cutevariant,50,cold,555.334477988
cutevariant,50,cold,552.983688181
cutevariant,50,warm,49.799970092
cutevariant,50,warm,49.999569468
cutevariant,50,warm,50.114188991
cutevariant,10,cold,153.212599024
cutevariant,10,cold,155.015170080
cutevariant,10,cold,152.896619156
cutevariant,10,warm,50.119537497
cutevariant,10,warm,50.012512411
cutevariant,10,warm,52.475783691
cutevariant,1,cold,63.432743063
cutevariant,1,cold,63.480118338
cutevariant,1,cold,63.580519091
cutevariant,1,warm,49.348192124
cutevariant,1,warm,49.774699989
cutevariant,1,warm,49.488294745
VCFdbR-table,100,cold,137.292802045
VCFdbR-table,100,cold,136.995241220
VCFdbR-table,100,cold,136.526347249
VCFdbR-table,100,warm,56.596417019
VCFdbR-table,100,warm,57.193972183
VCFdbR-table,100,warm,57.300283591
VCFdbR-table,50,cold,121.680903304
VCFdbR-table,50,cold,123.025714003
VCFdbR-table,50,cold,122.920111582
VCFdbR-table,50,warm,56.893125079
VCFdbR-table,50,warm,57.210855979
VCFdbR-table,50,warm,57.084924966
VCFdbR-table,10,cold,74.647568169
VCFdbR-table,10,cold,74.824245475
VCFdbR-table,10,cold,73.895286015
VCFdbR-table,10,warm,56.961752332
VCFdbR-table,10,warm,56.901436074
VCFdbR-table,10,warm,57.056477983
VCFdbR-table,1,cold,66.638328792
VCFdbR-table,1,cold,66.787964524
VCFdbR-table,1,cold,66.454554630
VCFdbR-table,1,warm,56.877816167
VCFdbR-table,1,warm,56.850777424
VCFdbR-table,1,warm,58.072958842
VCFdbR-file,100,cold,66.426782300
VCFdbR-file,100,cold,65.970787247
VCFdbR-file,100,cold,66.280589846
VCFdbR-file,100,warm,56.701155330
VCFdbR-file,100,warm,58.045618166
VCFdbR-file,100,warm,58.184298439
VCFdbR-file,50,cold,66.196067563
VCFdbR-file,50,cold,66.469758683
VCFdbR-file,50,cold,66.356804443
VCFdbR-file,50,warm,57.014605335
VCFdbR-file,50,warm,57.120649512
VCFdbR-file,50,warm,56.743900635
VCFdbR-file,10,cold,65.826859628
VCFdbR-file,10,cold,65.994688050
VCFdbR-file,10,cold,66.054111885
VCFdbR-file,10,warm,57.662803670
VCFdbR-file,10,warm,57.262556613
VCFdbR-file,10,warm,56.987508900
VCFdbR-file,1,cold,66.196067563
VCFdbR-file,1,cold,66.469758683
VCFdbR-file,1,cold,66.356804443
VCFdbR-file,1,warm,57.014605335
VCFdbR-file,1,warm,57.120649512
VCFdbR-file,1,warm,56.743900635
