solution,sample_percentage,cache,timing
vcf2db,100,cold,44.895094277
vcf2db,100,cold,45.497305009
vcf2db,100,cold,45.119911908
vcf2db,100,warm,43.821326703
vcf2db,100,warm,43.732721547
vcf2db,100,warm,43.929751799
vcf2db,50,cold,44.548723442
vcf2db,50,cold,44.459650706
vcf2db,50,cold,44.781460014
vcf2db,50,warm,43.304435706
vcf2db,50,warm,43.370232091
vcf2db,50,warm,43.274888978
vcf2db,10,cold,45.303155340
vcf2db,10,cold,45.366963470
vcf2db,10,cold,45.560533518
vcf2db,10,warm,44.357973916
vcf2db,10,warm,44.591760583
vcf2db,10,warm,44.353662314
vcf2db,1,cold,46.207672652
vcf2db,1,cold,45.929969196
vcf2db,1,cold,45.996572712
vcf2db,1,warm,45.060652334
vcf2db,1,warm,44.876582122
vcf2db,1,warm,45.147572415
cutevariant,100,cold,70.820547850
cutevariant,100,cold,76.083562806
cutevariant,100,cold,72.621806086
cutevariant,100,warm,6.582341381
cutevariant,100,warm,6.582851657
cutevariant,100,warm,6.663205417
cutevariant,50,cold,70.632336651
cutevariant,50,cold,72.154793856
cutevariant,50,cold,73.913300437
cutevariant,50,warm,6.548143870
cutevariant,50,warm,6.406303585
cutevariant,50,warm,6.757068094
cutevariant,10,cold,74.294544607
cutevariant,10,cold,75.538588517
cutevariant,10,cold,75.440747060
cutevariant,10,warm,6.318725549
cutevariant,10,warm,6.295354409
cutevariant,10,warm,6.468601106
cutevariant,1,cold,70.730514225
cutevariant,1,cold,70.677710081
cutevariant,1,cold,70.887909804
cutevariant,1,warm,6.372909195
cutevariant,1,warm,6.456296116
cutevariant,1,warm,6.615889166
VCFdbR-table,100,cold,91.380335546
VCFdbR-table,100,cold,91.272103171
VCFdbR-table,100,cold,90.921060633
VCFdbR-table,100,warm,13.539222124
VCFdbR-table,100,warm,13.366944173
VCFdbR-table,100,warm,13.445883932
VCFdbR-table,50,cold,92.434590513
VCFdbR-table,50,cold,91.894609978
VCFdbR-table,50,cold,90.037245141
VCFdbR-table,50,warm,13.557905493
VCFdbR-table,50,warm,13.335929393
VCFdbR-table,50,warm,13.350754425
VCFdbR-table,10,cold,38.406677102
VCFdbR-table,10,cold,41.060028259
VCFdbR-table,10,cold,39.897104430
VCFdbR-table,10,warm,13.521689630
VCFdbR-table,10,warm,13.626800421
VCFdbR-table,10,warm,13.524187505
VCFdbR-table,1,cold,25.004584127
VCFdbR-table,1,cold,25.754807376
VCFdbR-table,1,cold,26.779122371
VCFdbR-table,1,warm,13.640681994
VCFdbR-table,1,warm,13.821286808
VCFdbR-table,1,warm,13.595452005
VCFdbR-file,100,cold,27.825961093
VCFdbR-file,100,cold,28.174986698
VCFdbR-file,100,cold,28.480323852
VCFdbR-file,100,warm,13.834989606
VCFdbR-file,100,warm,13.942053661
VCFdbR-file,100,warm,14.033783544
VCFdbR-file,50,cold,29.171639739
VCFdbR-file,50,cold,28.439040889
VCFdbR-file,50,cold,28.874192266
VCFdbR-file,50,warm,13.692729775
VCFdbR-file,50,warm,14.192243130
VCFdbR-file,50,warm,13.958793036
VCFdbR-file,10,cold,28.071559139
VCFdbR-file,10,cold,28.251430262
VCFdbR-file,10,cold,27.377057252
VCFdbR-file,10,warm,13.940101960
VCFdbR-file,10,warm,13.711878964
VCFdbR-file,10,warm,13.960190682
VCFdbR-file,1,cold,24.557353704
VCFdbR-file,1,cold,25.864385741
VCFdbR-file,1,cold,25.642447879
VCFdbR-file,1,warm,14.036430754
VCFdbR-file,1,warm,13.712310961
VCFdbR-file,1,warm,13.820580884
vcf-miner,100,cold,
vcf-miner,100,cold,
vcf-miner,100,cold,
vcf-miner,100,warm,
vcf-miner,100,warm,
vcf-miner,100,warm,
vcf-miner,50,cold,
vcf-miner,50,cold,
vcf-miner,50,cold,
vcf-miner,50,warm,
vcf-miner,50,warm,
vcf-miner,50,warm,
vcf-miner,10,cold,
vcf-miner,10,cold,
vcf-miner,10,cold,
vcf-miner,10,warm,
vcf-miner,10,warm,
vcf-miner,10,warm,
vcf-miner,1,cold,
vcf-miner,1,cold,
vcf-miner,1,cold,
vcf-miner,1,warm,
vcf-miner,1,warm,
vcf-miner,1,warm,
