solution,cache,timing
vcf2db,cold,0.212622608
vcf2db,cold,0.200426326
vcf2db,cold,0.197100378
vcf2db,warm,0.108798166
vcf2db,warm,0.106587795
vcf2db,warm,0.100461039
cutevariant,cold,653.921703163                                                                                
cutevariant,cold,654.193820437                                                                                
cutevariant,cold,654.373418838                                                                                
cutevariant,warm,11.186360772                                                                                 
cutevariant,warm,10.971874547
cutevariant,warm,10.992689427
VCFdbR-table,cold,17.245663249
VCFdbR-table,cold,17.740471419
VCFdbR-table,cold,17.643890983
VCFdbR-table,warm,0.459811068
VCFdbR-table,warm,0.455195415
VCFdbR-table,warm,0.464696749
VCFdbR-file,cold,14.202802017
VCFdbR-file,cold,14.187662807
VCFdbR-file,cold,14.216316895
VCFdbR-file,warm,0.405571288
VCFdbR-file,warm,0.395676686
VCFdbR-file,warm,0.392733952
vcf-miner,cold,1166.866314884
vcf-miner,cold,1157.971743078
vcf-miner,cold,1157.846345343
vcf-miner,warm,573.557418555
vcf-miner,warm,527.058139046
vcf-miner,warm,535.114892391
