solution,cache,timing
vcf2db,cold,44.895094277
vcf2db,cold,45.497305009
vcf2db,cold,45.119911908
vcf2db,warm,43.821326703
vcf2db,warm,43.732721547
vcf2db,warm,43.929751799
cutevariant,cold,70.820547850
cutevariant,cold,76.083562806
cutevariant,cold,72.621806086
cutevariant,warm,6.582341381
cutevariant,warm,6.582851657
cutevariant,warm,6.663205417
VCFdbR-table,cold,91.380335546
VCFdbR-table,cold,91.272103171
VCFdbR-table,cold,90.921060633
VCFdbR-table,warm,13.539222124
VCFdbR-table,warm,13.366944173
VCFdbR-table,warm,13.445883932
VCFdbR-file,cold,27.825961093
VCFdbR-file,cold,28.174986698
VCFdbR-file,cold,28.480323852
VCFdbR-file,warm,13.834989606
VCFdbR-file,warm,13.942053661
VCFdbR-file,warm,14.033783544
vcf-miner,cold,713.654463843
vcf-miner,cold,713.298798131
vcf-miner,cold,725.369438940
vcf-miner,warm,259.932132072
vcf-miner,warm,122.741801797
vcf-miner,warm,123.488326331
