solution,sample_percentage,cache,timing
vcf2db,100,cold,0.122750288
vcf2db,100,cold,0.118837876
vcf2db,100,cold,0.107804941
vcf2db,100,warm,0.051524569
vcf2db,100,warm,0.050679066
vcf2db,100,warm,0.046898951
vcf2db,50,cold,0.131256345
vcf2db,50,cold,0.112953992
vcf2db,50,cold,0.114297017
vcf2db,50,warm,0.043501455
vcf2db,50,warm,0.052602879
vcf2db,50,warm,0.050677705
vcf2db,10,cold,0.103959436
vcf2db,10,cold,0.112466653
vcf2db,10,cold,0.122742011
vcf2db,10,warm,0.058623332
vcf2db,10,warm,0.058818716
vcf2db,10,warm,0.059689509
vcf2db,1,cold,0.131115328
vcf2db,1,cold,0.123361199
vcf2db,1,cold,0.118542825
vcf2db,1,warm,0.061434399
vcf2db,1,warm,0.061018951
vcf2db,1,warm,0.059535232
cutevariant,100,cold,0.013837132
cutevariant,100,cold,0.011683782
cutevariant,100,cold,0.013551880
cutevariant,100,warm,0.004566738
cutevariant,100,warm,0.003706079
cutevariant,100,warm,0.004398206
cutevariant,50,cold,0.015671051
cutevariant,50,cold,0.014943822
cutevariant,50,cold,0.016607706
cutevariant,50,warm,0.006416158
cutevariant,50,warm,0.004733554
cutevariant,50,warm,0.005559497
cutevariant,10,cold,.016100014
cutevariant,10,cold,.015069692
cutevariant,10,cold,.015333839
cutevariant,10,warm,.004916958
cutevariant,10,warm,.005358287
cutevariant,10,warm,.005250131
cutevariant,1,cold,0.015907474
cutevariant,1,cold,0.014580053
cutevariant,1,cold,0.015295254
cutevariant,1,warm,0.005128691
cutevariant,1,warm,0.007208309
cutevariant,1,warm,0.006266809
VCFdbR-table,100,cold,71.160099369
VCFdbR-table,100,cold,71.771932778
VCFdbR-table,100,cold,71.763729126
VCFdbR-table,100,warm,2.085471575
VCFdbR-table,100,warm,2.106538911
VCFdbR-table,100,warm,1.838544954
VCFdbR-table,50,cold,71.981502265
VCFdbR-table,50,cold,72.171093154
VCFdbR-table,50,cold,72.212137106
VCFdbR-table,50,warm,2.087166616
VCFdbR-table,50,warm,2.219281460
VCFdbR-table,50,warm,2.248023008
VCFdbR-table,10,cold,25.959209121
VCFdbR-table,10,cold,25.954969868
VCFdbR-table,10,cold,25.970945196
VCFdbR-table,10,warm,2.242232214
VCFdbR-table,10,warm,2.213412715
VCFdbR-table,10,warm,2.212444909
VCFdbR-table,1,cold,14.186297811
VCFdbR-table,1,cold,13.996912830
VCFdbR-table,1,cold,14.025393371
VCFdbR-table,1,warm,2.021140424
VCFdbR-table,1,warm,2.026236720
VCFdbR-table,1,warm,1.757030517
VCFdbR-file,100,cold,15.525554465
VCFdbR-file,100,cold,15.193540490
VCFdbR-file,100,cold,15.208349408
VCFdbR-file,100,warm,2.871650447
VCFdbR-file,100,warm,2.487123025
VCFdbR-file,100,warm,2.189841961
VCFdbR-file,50,cold,15.716555964
VCFdbR-file,50,cold,15.707448883
VCFdbR-file,50,cold,16.158045374
VCFdbR-file,50,warm,2.359097009
VCFdbR-file,50,warm,2.316739484
VCFdbR-file,50,warm,2.356952691
VCFdbR-file,10,cold,14.955094401
VCFdbR-file,10,cold,14.447366769
VCFdbR-file,10,cold,14.462046746
VCFdbR-file,10,warm,2.231423650
VCFdbR-file,10,warm,2.341861994
VCFdbR-file,10,warm,2.008858394
VCFdbR-file,1,cold,14.233633865
VCFdbR-file,1,cold,14.270410134
VCFdbR-file,1,cold,14.380829170
VCFdbR-file,1,warm,2.348496749
VCFdbR-file,1,warm,2.351029547
VCFdbR-file,1,warm,2.288656920
vcf-miner,100,cold,58.166424243
vcf-miner,100,cold,58.358145167
vcf-miner,100,cold,58.048653033
vcf-miner,100,warm,14.595883662
vcf-miner,100,warm,15.283685801
vcf-miner,100,warm,13.514677393
vcf-miner,50,cold,31.834978736
vcf-miner,50,cold,31.253747726
vcf-miner,50,cold,31.377872867
vcf-miner,50,warm,12.154244520
vcf-miner,50,warm,9.386618233
vcf-miner,50,warm,8.269020395
vcf-miner,10,cold,12.854199601
vcf-miner,10,cold,12.786850329
vcf-miner,10,cold,12.668157795
vcf-miner,10,warm,5.982449242
vcf-miner,10,warm,4.559770603
vcf-miner,10,warm,4.206363314
vcf-miner,1,cold,9.626114392
vcf-miner,1,cold,9.367811697
vcf-miner,1,cold,9.329065220
vcf-miner,1,warm,3.595280047
vcf-miner,1,warm,4.241589749
vcf-miner,1,warm,3.791279240
