solution,cache,timing
vcf2db,cold,281.545403984
vcf2db,cold,308.360869886
vcf2db,cold,284.103637022
vcf2db,warm,203.029728599
vcf2db,warm,227.692839295
vcf2db,warm,202.142071872
cutevariant,cold,739.907129558
cutevariant,cold,743.334877907
cutevariant,cold,739.468623662
cutevariant,warm,49.786513534
cutevariant,warm,49.830427652
cutevariant,warm,49.641346318
VCFdbR-table,cold,137.292802045
VCFdbR-table,cold,136.995241220
VCFdbR-table,cold,136.526347249
VCFdbR-table,warm,56.596417019
VCFdbR-table,warm,57.193972183
VCFdbR-table,warm,57.300283591
VCFdbR-file,cold,66.426782300
VCFdbR-file,cold,65.970787247
VCFdbR-file,cold,66.280589846
VCFdbR-file,warm,56.701155330
VCFdbR-file,warm,58.045618166
VCFdbR-file,warm,58.184298439
