solution,cache,timing
vcf2db,cold,0.122750288
vcf2db,cold,0.118837876
vcf2db,cold,0.107804941
vcf2db,warm,0.051524569
vcf2db,warm,0.050679066
vcf2db,warm,0.046898951
cutevariant,cold,0.013837132
cutevariant,cold,0.011683782
cutevariant,cold,0.013551880
cutevariant,warm,0.004566738
cutevariant,warm,0.003706079
cutevariant,warm,0.004398206
VCFdbR-table,cold,71.160099369
VCFdbR-table,cold,71.771932778
VCFdbR-table,cold,71.763729126
VCFdbR-table,warm,2.085471575
VCFdbR-table,warm,2.106538911
VCFdbR-table,warm,1.838544954
VCFdbR-file,cold,15.525554465
VCFdbR-file,cold,15.193540490
VCFdbR-file,cold,15.208349408
VCFdbR-file,warm,2.871650447
VCFdbR-file,warm,2.487123025
VCFdbR-file,warm,2.189841961
vcf-miner,cold,58.166424243
vcf-miner,cold,58.358145167
vcf-miner,cold,58.048653033
vcf-miner,warm,14.595883662
vcf-miner,warm,15.283685801
vcf-miner,warm,13.514677393
