solution,cache,timing
vcf2db,cold,21.048937001
vcf2db,cold,20.076027138
vcf2db,cold,19.612781957
vcf2db,warm,9.507596980
vcf2db,warm,8.698008427
vcf2db,warm,8.720900775
cutevariant,cold,167.681053362
cutevariant,cold,169.354084084
cutevariant,cold,169.595986565
cutevariant,warm,7.028017990
cutevariant,warm,7.018847246
cutevariant,warm,7.200168245
VCFdbR-table,cold,125.126097647
VCFdbR-table,cold,125.494936410
VCFdbR-table,cold,125.272109955
VCFdbR-table,warm,22.231632530
VCFdbR-table,warm,22.424041763
VCFdbR-table,warm,21.586517986
VCFdbR-file,cold,30.709933106
VCFdbR-file,cold,30.664487707
VCFdbR-file,cold,30.390277607
VCFdbR-file,warm,20.845708856
VCFdbR-file,warm,21.270557264
VCFdbR-file,warm,22.300680895
vcf-miner,cold,616.171148012
vcf-miner,cold,606.099260467
vcf-miner,cold,603.715649840
vcf-miner,warm,576.954210747
vcf-miner,warm,571.838364327
vcf-miner,warm,575.538246735
