solution,sample_percentage,cache,timing
vcf2db,100,cold,21.048937001
vcf2db,100,cold,20.076027138
vcf2db,100,cold,19.612781957
vcf2db,100,warm,9.507596980
vcf2db,100,warm,8.698008427
vcf2db,100,warm,8.720900775
vcf2db,50,cold,20.529101640
vcf2db,50,cold,22.101561780
vcf2db,50,cold,21.828417523
vcf2db,50,warm,10.299306303
vcf2db,50,warm,9.059799290
vcf2db,50,warm,8.810925387
vcf2db,10,cold,21.701559478
vcf2db,10,cold,21.759505474
vcf2db,10,cold,21.866254430
vcf2db,10,warm,8.818477571
vcf2db,10,warm,8.782239252
vcf2db,10,warm,8.557933700
vcf2db,1,cold,20.190281290
vcf2db,1,cold,21.629792362
vcf2db,1,cold,21.766434673
vcf2db,1,warm,9.689265130
vcf2db,1,warm,8.917571602
vcf2db,1,warm,8.583177582
cutevariant,100,cold,167.681053362
cutevariant,100,cold,169.354084084
cutevariant,100,cold,169.595986565
cutevariant,100,warm,7.028017990
cutevariant,100,warm,7.018847246
cutevariant,100,warm,7.200168245
cutevariant,50,cold,118.233335554
cutevariant,50,cold,118.780754629
cutevariant,50,cold,120.694995065
cutevariant,50,warm,7.697055301
cutevariant,50,warm,7.740085718
cutevariant,50,warm,7.695280882
cutevariant,10,cold,31.149076743
cutevariant,10,cold,30.912401233
cutevariant,10,cold,31.085667172
cutevariant,10,warm,7.153320144
cutevariant,10,warm,7.005011723
cutevariant,10,warm,6.996296109
cutevariant,1,cold,9.641142972
cutevariant,1,cold,9.584022383
cutevariant,1,cold,9.846295839
cutevariant,1,warm,7.187316474
cutevariant,1,warm,7.262330681
cutevariant,1,warm,7.203264749
VCFdbR-table,100,cold,125.126097647
VCFdbR-table,100,cold,125.494936410
VCFdbR-table,100,cold,125.272109955
VCFdbR-table,100,warm,22.231632530
VCFdbR-table,100,warm,22.424041763
VCFdbR-table,100,warm,21.586517986
VCFdbR-table,50,cold,116.042586348
VCFdbR-table,50,cold,115.926048339
VCFdbR-table,50,cold,115.552472690
VCFdbR-table,50,warm,22.663414977
VCFdbR-table,50,warm,21.841201958
VCFdbR-table,50,warm,21.917646725
VCFdbR-table,10,cold,42.551213849
VCFdbR-table,10,cold,41.961059439
VCFdbR-table,10,cold,41.920431145
VCFdbR-table,10,warm,21.116684912
VCFdbR-table,10,warm,21.065308158
VCFdbR-table,10,warm,21.947146569
VCFdbR-table,1,cold,30.912581437
VCFdbR-table,1,cold,30.608909095
VCFdbR-table,1,cold,30.617392898
VCFdbR-table,1,warm,21.870012882
VCFdbR-table,1,warm,21.171802666
VCFdbR-table,1,warm,22.088138303
VCFdbR-file,100,cold,30.709933106
VCFdbR-file,100,cold,30.664487707
VCFdbR-file,100,cold,30.390277607
VCFdbR-file,100,warm,20.845708856
VCFdbR-file,100,warm,21.270557264
VCFdbR-file,100,warm,22.300680895
VCFdbR-file,50,cold,30.840781584
VCFdbR-file,50,cold,30.797421552
VCFdbR-file,50,cold,30.926322157
VCFdbR-file,50,warm,21.019792164
VCFdbR-file,50,warm,21.176368913
VCFdbR-file,50,warm,21.911397790
VCFdbR-file,10,cold,30.449123413
VCFdbR-file,10,cold,29.975371016
VCFdbR-file,10,cold,29.967224457
VCFdbR-file,10,warm,22.288524355
VCFdbR-file,10,warm,22.031921521
VCFdbR-file,10,warm,22.208849602
VCFdbR-file,1,cold,30.986859146
VCFdbR-file,1,cold,29.893560388
VCFdbR-file,1,cold,29.873924404
VCFdbR-file,1,warm,21.069183743
VCFdbR-file,1,warm,21.113883339
VCFdbR-file,1,warm,22.102607014
vcf-miner,100,cold,616.171148012
vcf-miner,100,cold,606.099260467
vcf-miner,100,cold,603.715649840
vcf-miner,100,warm,576.954210747
vcf-miner,100,warm,571.838364327
vcf-miner,100,warm,575.538246735
vcf-miner,50,cold,397.611330905
vcf-miner,50,cold,396.904122128
vcf-miner,50,cold,397.408693729
vcf-miner,50,warm,393.625202585
vcf-miner,50,warm,392.423382012
vcf-miner,50,warm,395.269443784
vcf-miner,10,cold,189.292005159
vcf-miner,10,cold,189.623899428
vcf-miner,10,cold,190.560847171
vcf-miner,10,warm,257.810311906
vcf-miner,10,warm,213.554039561
vcf-miner,10,warm,212.236444435
vcf-miner,1,cold,133.921544223
vcf-miner,1,cold,140.521110267
vcf-miner,1,cold,134.100266857
vcf-miner,1,warm,197.708935890
vcf-miner,1,warm,177.601116240
vcf-miner,1,warm,180.922501252
